City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bredasdorp,-34.5322,20.0403,56.52,51,22,17.27,ZA,2022-08-29 15:15:06
68,Avera,33.194,-82.5271,82.38,60,1,8.95,US,2022-08-29 15:15:07
69,Issia,6.4922,-6.5856,77.68,87,85,3.51,CI,2022-08-29 15:15:07
70,Yeniseysk,58.4497,92.1703,38.66,75,2,5.79,RU,2022-08-29 15:15:08
71,Labuhan,-6.8844,112.2051,78.01,76,75,11.32,ID,2022-08-29 15:15:08
72,Cidreira,-30.1811,-50.2056,54.07,58,100,9.17,BR,2022-08-29 15:15:08
73,Hualmay,-11.0964,-77.6139,63.77,74,55,7.74,PE,2022-08-29 15:15:09
74,Korla,41.7597,86.1469,79.41,26,46,4.7,CN,2022-08-29 15:15:09
75,Busselton,-33.65,115.3333,50.7,81,26,4.88,AU,2022-08-29 15:15:09
76,San Francisco,37.7749,-122.4194,63.99,85,75,7.0,US,2022-08-29 15:14:45
77,Plettenberg Bay,-34.0527,23.3716,54.88,63,100,11.32,ZA,2022-08-29 15:15:10
78,Vaini,-21.2,-175.2,69.96,94,20,5.75,TO,2022-08-29 15:15:10
79,Coquimbo,-29.9533,-71.3436,53.33,87,100,3.44,CL,2022-08-29 15:15:11
80,Mount Isa,-20.7333,139.5,67.77,100,40,8.05,AU,2022-08-29 15:15:11
81,Eratira,40.35,21.5167,81.79,39,37,4.23,GR,2022-08-29 15:15:11
82,Geraldton,-28.7667,114.6,46.81,87,0,4.61,AU,2022-08-29 15:15:12
83,Tasiilaq,65.6145,-37.6368,48.36,95,100,34.74,GL,2022-08-29 15:15:12
84,Awbari,26.5921,12.7805,99.45,14,0,17.98,LY,2022-08-29 15:15:12
85,Puerto Ayora,-0.7393,-90.3518,71.56,89,79,5.01,EC,2022-08-29 15:15:13
86,Ilulissat,69.2167,-51.1,51.82,58,75,14.97,GL,2022-08-29 15:15:11
87,Kalabo,-14.97,22.6814,91.2,12,0,7.14,ZM,2022-08-29 15:13:11
88,Leningradskiy,69.3833,178.4167,33.94,95,85,1.95,RU,2022-08-29 15:10:31
