City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cururupu,BR,-1.8283,-44.8683,86.88,52,36,7.56,scattered clouds
80,Ilulissat,GL,69.2167,-51.1,46.42,49,75,17.27,broken clouds
81,Santa Clarita,US,34.3917,-118.5426,107.62,20,0,1.01,clear sky
82,Carnarvon,AU,-24.8667,113.6333,72.91,63,100,12.26,overcast clouds
83,Jalu,LY,29.0331,21.5482,90.21,27,0,11.12,clear sky
84,Sakakah,SA,29.9697,40.2064,99.97,9,0,4.36,clear sky
85,Rognan,NO,67.0953,15.3878,55.06,65,48,3.56,scattered clouds
86,Altay,CN,47.8667,88.1167,60.39,31,0,6.4,clear sky
87,Taltal,CL,-25.4,-70.4833,62.06,61,0,8.81,clear sky
88,Bonavista,CA,48.6499,-53.1147,68.88,77,14,22.86,few clouds
89,Butaritari,KI,3.0707,172.7902,81.39,72,34,17.96,scattered clouds
90,Pine Bluff,US,34.2284,-92.0032,87.1,49,0,3.44,clear sky
91,Necochea,AR,-38.5473,-58.7368,60.94,59,100,9.66,overcast clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,64.42,73,0,11.5,clear sky
93,Luderitz,NA,-26.6481,15.1594,58.91,84,1,9.6,clear sky
94,Caraz,PE,-9.0486,-77.81,75.36,30,14,6.22,few clouds
95,Ponta Do Sol,PT,32.6667,-17.1,77.63,63,75,3.4,light rain
96,Nanortalik,GL,60.1432,-45.2371,48.13,56,100,0.72,overcast clouds
97,Menongue,AO,-14.6585,17.691,73.4,19,45,5.88,scattered clouds
98,Avarua,CK,-21.2078,-159.775,75.25,94,75,3.44,broken clouds
99,Bereda,ES,43.2686,-7.5406,69.42,75,89,4.99,overcast clouds
100,Chokurdakh,RU,70.6333,147.9167,34.41,84,39,11.1,scattered clouds
101,Qaanaaq,GL,77.484,-69.3632,36.03,71,83,7.99,broken clouds
102,Grays,GB,51.4757,0.3252,73.56,67,100,12.66,overcast clouds
103,Callaguip,PH,18.0714,120.4867,81.25,82,100,13.0,moderate rain
104,Ryotsu,JP,38.0833,138.4333,72.79,84,100,9.78,light rain
105,Hofn,IS,64.2539,-15.2082,51.82,82,20,12.66,few clouds
106,Baykit,RU,61.67,96.37,35.51,97,12,3.13,few clouds
107,Khatra,IN,22.9833,86.85,82.27,81,100,8.86,overcast clouds
108,Miri,MY,4.4148,114.0089,78.94,89,20,4.61,few clouds
109,Constitucion,CL,-35.3333,-72.4167,57.61,58,50,13.44,scattered clouds
110,Tual,ID,-5.6667,132.75,80.74,83,82,13.42,broken clouds
111,Izhmorskiy,RU,56.194,86.6414,62.91,65,96,7.76,overcast clouds
112,Fredericton,CA,45.9454,-66.6656,77.83,54,20,9.22,few clouds
113,Barrow,US,71.2906,-156.7887,37.42,100,100,19.57,light rain
114,Beyneu,KZ,45.3167,55.2,91.81,13,1,10.58,clear sky
115,Castro,BR,-24.7911,-50.0119,73.92,40,0,6.33,clear sky
116,Krasnovka,RU,48.8177,40.0923,68.0,61,98,12.12,overcast clouds
117,Kodiak,US,57.79,-152.4072,51.31,82,75,5.75,broken clouds
118,East London,ZA,-33.0153,27.9116,65.34,77,0,6.91,clear sky
119,Springfield,US,37.2153,-93.2982,85.91,61,0,10.36,clear sky
120,Garowe,SO,8.4054,48.4845,87.22,33,75,20.69,broken clouds
121,Olafsvik,IS,64.8945,-23.7142,49.8,70,83,3.36,broken clouds
122,Misratah,LY,32.3754,15.0925,86.81,54,37,7.43,scattered clouds
123,Ostrovnoy,RU,68.0531,39.5131,46.67,79,99,21.05,light rain
124,Yellowknife,CA,62.456,-114.3525,52.32,87,100,6.91,light intensity drizzle
125,Yuci,CN,37.6803,112.7319,65.95,72,0,8.95,clear sky
126,Pacific Grove,US,36.6177,-121.9166,77.38,100,0,4.0,clear sky
127,Saint-Philippe,RE,-21.3585,55.7679,65.79,74,58,13.2,broken clouds
128,Killybegs,IE,54.6333,-8.45,67.71,70,84,3.15,broken clouds
129,Farafangana,MG,-22.8167,47.8333,65.57,74,0,9.1,clear sky
130,Cherskiy,RU,68.75,161.3,33.44,82,14,3.69,few clouds
131,Mirante Do Paranapanema,BR,-22.2919,-51.9064,85.1,33,0,10.31,clear sky
132,Isangel,VU,-19.55,169.2667,70.39,78,65,10.0,broken clouds
