City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Eldorado,BR,84.54,clear sky,-23.7869,-54.2836,Villa Verde Hotel
243,Tezu,IN,75.87,overcast clouds,27.9167,96.1667,Circuit House
247,Vila Franca Do Campo,PT,79.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
249,Tautira,PF,76.68,light rain,-17.7333,-149.15,Pension Oaoa
250,Ayotzintepec,MX,87.82,broken clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
254,Gushikawa,JP,81.63,broken clouds,26.3544,127.8686,Kirari Guest House
255,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
257,Faya,SA,75.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
258,Qui Nhon,VN,79.83,few clouds,13.7667,109.2333,Seagull Hotel
260,Horadiz,AZ,77.77,clear sky,39.4488,47.3353,Horadiz Olympic Center
261,Inver Grove Heights,US,87.35,clear sky,44.848,-93.0427,"Holiday Inn Express St Paul S - Inver Grove Hgts, an IHG Hotel"
263,Nago,JP,80.46,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
264,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
265,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
275,Coahuayana,MX,88.84,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
280,Shieli,KZ,81.81,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
284,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
285,Minab,IR,89.92,haze,27.1467,57.0801,Bam campground
291,Guigue,VE,87.62,scattered clouds,10.0853,-67.7792,La vasquereña
292,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
296,Tubarao,BR,80.65,clear sky,-28.4667,-49.0069,Hotel San Silvestre
297,Amalapuram,IN,79.23,broken clouds,16.5833,82.0167,swayamprabha service apartments
302,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Pirineos
303,Mogadishu,SO,75.83,few clouds,2.0371,45.3438,Hotel Juba
307,Abha,SA,75.45,clear sky,18.2164,42.5053,Abha Hotel
315,Mossendjo,CG,80.47,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
316,Bethel,US,83.62,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
318,Talavera De La Reina,ES,89.35,broken clouds,39.9635,-4.8308,Be Live City Center Talavera
321,Bambanglipuro,ID,75.9,scattered clouds,-7.95,110.2833,Puri Brata
324,Ormara,PK,80.71,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
326,Galle,LK,77.27,overcast clouds,6.0367,80.217,Amangalla
330,Cabinda,AO,77.14,few clouds,-5.55,12.2,Hotel Maiombe
337,Ranong,TH,78.84,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
340,Maragogi,BR,78.03,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
342,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
344,Torbay,CA,75.76,broken clouds,47.6666,-52.7314,Gallows Cove
347,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
348,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
351,San Quintin,MX,80.04,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
353,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
356,Hithadhoo,MV,81.81,broken clouds,-0.6,73.0833,Scoop Guest House
363,Ambon,ID,76.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
365,Sao Jose Da Coroa Grande,BR,78.37,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
368,Mayo,US,88.5,clear sky,38.8876,-76.5119,Resorts Resource Group International
371,Sidi Ali,DZ,83.14,overcast clouds,36.0998,0.4206,Khaled
374,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
381,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
382,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
384,Bubaque,GW,78.93,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
385,Hambantota,LK,78.15,overcast clouds,6.1241,81.1185,Bungalow 63
387,Abu Zabad,SD,81.36,light rain,12.35,29.25,حامد محمد نور
388,Sao Filipe,CV,79.97,light rain,14.8961,-24.4956,Hotel Xaguate
394,Padang,ID,76.46,light rain,-0.9492,100.3543,Mercure Padang
395,Eyl,SO,75.78,scattered clouds,7.9803,49.8164,Amiin Hotel
396,Powell,US,85.82,few clouds,40.1578,-83.0752,The Brig
399,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Rioja,AR,78.51,scattered clouds,-29.4111,-66.8507,Hotel Libertador
403,Mantua,IT,78.04,broken clouds,45.1667,10.7833,Hotel la Favorita
404,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
406,Sarangani,PH,83.55,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
408,Puerto Gaitan,CO,88.38,few clouds,4.3133,-72.0816,Brisas del Yucao
410,Benjamin Hill,MX,84.43,scattered clouds,30.1667,-111.1,Hotel Benjamín Hill
415,Cosala,MX,87.78,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
418,Westport,US,84.88,scattered clouds,41.1415,-73.3579,The Westport Inn
420,Mbour,SN,81.45,light rain,14.422,-16.9638,Tama Lodge
421,Manggar,ID,81.1,scattered clouds,-2.8833,108.2667,Guest Hotel
426,Lewistown,US,82.87,clear sky,40.5992,-77.5714,Quality Inn & Suites
428,Camaqua,BR,78.49,few clouds,-30.8511,-51.8122,Bartz Hotel
436,Finschhafen,PG,76.87,overcast clouds,-6.6024,147.8681,Cossam Guest House
